Data,Cota (m),Variação (cm)
2020-01-01,22.87,11
2020-01-02,22.99,12
2020-01-03,23.06,7
2020-01-04,23.12,6
2020-01-05,23.18,6
2020-01-06,23.25,7
2020-01-07,23.32,7
2020-01-08,23.38,6
2020-01-09,23.43,5
2020-01-10,23.5,7
2020-01-11,23.56,6
2020-01-12,23.63,7
2020-01-13,23.7,7
2020-01-14,23.78,8
2020-01-15,23.86,8
2020-01-16,23.95,9
2020-01-17,24.06,11
2020-01-18,24.09,3
2020-01-19,24.12,3
2020-01-20,24.16,4
2020-01-21,24.2,4
2020-01-22,24.26,6
2020-01-23,24.32,6
2020-01-24,24.36,4
2020-01-25,24.4,4
2020-01-26,24.43,3
2020-01-27,24.46,3
2020-01-28,24.51,5
2020-01-29,24.53,2
2020-01-30,24.54,1
2020-01-31,24.55,1
2020-02-01,24.56,1
2020-02-02,24.57,1
2020-02-03,24.59,2
2020-02-04,24.6,1
2020-02-05,24.61,1
2020-02-06,24.62,1
2020-02-07,24.62,0
2020-02-08,24.62,0
2020-02-09,24.61,-1
2020-02-10,24.59,-2
2020-02-11,24.56,-3
2020-02-12,24.54,-2
2020-02-13,24.54,0
2020-02-14,24.55,1
2020-02-15,24.56,1
2020-02-16,24.58,2
2020-02-17,24.6,2
2020-02-18,24.61,1
2020-02-19,24.61,0
2020-02-20,24.61,0
2020-02-21,24.59,-2
2020-02-22,24.57,-2
2020-02-23,24.55,-2
2020-02-24,24.54,-1
2020-02-25,24.53,-1
2020-02-26,24.52,-1
2020-02-27,24.52,0
2020-02-28,24.54,2
2020-02-29,24.55,1
2020-03-01,24.55,0
2020-03-02,24.55,0
2020-03-03,24.56,1
2020-03-04,24.58,2
2020-03-05,24.6,2
2020-03-06,24.6,0
2020-03-07,24.6,0
2020-03-08,24.61,1
2020-03-09,24.63,2
2020-03-10,24.65,2
2020-03-11,24.67,2
2020-03-12,24.68,1
2020-03-13,24.69,1
2020-03-14,24.71,2
2020-03-15,24.74,3
2020-03-16,24.77,3
2020-03-17,24.8,3
2020-03-18,24.84,4
2020-03-19,24.87,3
2020-03-20,24.92,5
2020-03-21,24.96,4
2020-03-22,25.0,4
2020-03-23,25.05,5
2020-03-24,25.08,3
2020-03-25,25.1,2
2020-03-26,25.12,2
2020-03-27,25.13,1
2020-03-28,25.14,1
2020-03-29,25.16,2
2020-03-30,25.18,2
2020-03-31,25.22,4
2020-04-01,25.27,5
2020-04-02,25.34,7
2020-04-03,25.39,5
2020-04-04,25.41,2
2020-04-05,25.41,0
2020-04-06,25.41,0
2020-04-07,25.42,1
2020-04-08,25.43,1
2020-04-09,25.48,5
2020-04-10,25.53,5
2020-04-11,25.59,6
2020-04-12,25.66,7
2020-04-13,25.73,7
2020-04-14,25.77,4
2020-04-15,25.83,6
2020-04-16,25.88,5
2020-04-17,25.95,7
2020-04-18,26.02,7
2020-04-19,26.08,6
2020-04-20,26.14,6
2020-04-21,26.2,6
2020-04-22,26.25,5
2020-04-23,26.31,6
2020-04-24,26.36,5
2020-04-25,26.42,6
2020-04-26,26.49,7
2020-04-27,26.56,7
2020-04-28,26.63,7
2020-04-29,26.68,5
2020-04-30,26.72,4
2020-05-01,26.77,5
2020-05-02,26.82,5
2020-05-03,26.88,6
2020-05-04,26.95,7
2020-05-05,27.03,8
2020-05-06,27.08,5
2020-05-07,27.12,4
2020-05-08,27.19,7
2020-05-09,27.24,5
2020-05-10,27.28,4
2020-05-11,27.32,4
2020-05-12,27.36,4
2020-05-13,27.42,6
2020-05-14,27.47,5
2020-05-15,27.53,6
2020-05-16,27.59,6
2020-05-17,27.64,5
2020-05-18,27.68,4
2020-05-19,27.73,5
2020-05-20,27.79,6
2020-05-21,27.83,4
2020-05-22,27.87,4
2020-05-23,27.92,5
2020-05-24,27.97,5
2020-05-25,28.03,6
2020-05-26,28.07,4
2020-05-27,28.11,4
2020-05-28,28.17,6
2020-05-29,28.2,3
2020-05-30,28.23,3
2020-05-31,28.26,3
2020-06-01,28.28,2
2020-06-02,28.31,3
2020-06-03,28.33,2
2020-06-04,28.35,2
2020-06-05,28.38,3
2020-06-06,28.41,3
2020-06-07,28.44,3
2020-06-08,28.46,2
2020-06-09,28.47,1
2020-06-10,28.48,1
2020-06-11,28.49,1
2020-06-12,28.49,0
2020-06-13,28.49,0
2020-06-14,28.5,1
2020-06-15,28.51,1
2020-06-16,28.51,0
2020-06-17,28.51,0
2020-06-18,28.52,1
2020-06-19,28.52,0
2020-06-20,28.52,0
2020-06-21,28.51,-1
2020-06-22,28.49,-2
2020-06-23,28.47,-2
2020-06-24,28.46,-1
2020-06-25,28.45,-1
2020-06-26,28.44,-1
2020-06-27,28.43,-1
2020-06-28,28.42,-1
2020-06-29,28.4,-2
2020-06-30,28.39,-1
2020-07-01,28.38,-1
2020-07-02,28.37,-1
2020-07-03,28.35,-2
2020-07-04,28.33,-1
2020-07-05,28.32,-1
2020-07-06,28.32,0
2020-07-07,28.32,0
2020-07-08,28.31,-1
2020-07-09,28.3,-1
2020-07-10,28.28,-2
2020-07-11,28.26,-2
2020-07-12,28.25,-1
2020-07-13,28.24,-1
2020-07-14,28.23,-1
2020-07-15,28.2,-3
2020-07-16,28.17,-3
2020-07-17,28.15,-2
2020-07-18,28.12,-3
2020-07-19,28.09,-3
2020-07-20,28.05,-4
2020-07-21,28.01,-4
2020-07-22,27.98,-3
2020-07-23,27.94,-4
2020-07-24,27.9,-4
2020-07-25,27.86,-4
2020-07-26,27.82,-4
2020-07-27,27.77,-5
2020-07-28,27.72,-5
2020-07-29,27.67,-5
2020-07-30,27.6,-7
2020-07-31,27.54,-6
2020-08-01,27.49,-5
2020-08-02,27.43,-6
2020-08-03,27.37,-6
2020-08-04,27.3,-7
2020-08-05,27.25,-5
2020-08-06,27.2,-5
2020-08-07,27.15,-5
2020-08-08,27.09,-6
2020-08-09,27.03,-6
2020-08-10,26.96,-7
2020-08-11,26.89,-7
2020-08-12,26.84,-5
2020-08-13,26.77,-7
2020-08-14,26.67,-10
2020-08-15,26.6,-7
2020-08-16,26.53,-7
2020-08-17,26.45,-8
2020-08-18,26.35,-10
2020-08-19,26.25,-10
2020-08-20,26.15,-10
2020-08-21,26.05,-10
2020-08-22,25.96,-9
2020-08-23,25.86,-10
2020-08-24,25.76,-10
2020-08-25,25.63,-13
2020-08-26,25.51,-12
2020-08-27,25.39,-12
2020-08-28,25.26,-13
2020-08-29,25.13,-13
2020-08-30,25.0,-13
2020-08-31,24.85,-15
2020-09-01,24.67,-18
2020-09-02,24.51,-16
2020-09-03,24.33,-18
2020-09-04,24.17,-16
2020-09-05,23.98,-19
2020-09-06,23.79,-19
2020-09-07,23.59,-20
2020-09-08,23.39,-20
2020-09-09,23.17,-22
2020-09-10,22.95,-22
2020-09-11,22.75,-20
2020-09-12,22.53,-22
2020-09-13,22.29,-24
2020-09-14,22.05,-24
2020-09-15,21.8,-25
2020-09-16,21.54,-26
2020-09-17,21.28,-26
2020-09-18,21.01,-27
2020-09-19,20.74,-27
2020-09-20,20.49,-25
2020-09-21,20.24,-25
2020-09-22,19.99,-25
2020-09-23,19.75,-24
2020-09-24,19.53,-22
2020-09-25,19.27,-26
2020-09-26,19.07,-20
2020-09-27,18.88,-19
2020-09-28,18.69,-19
2020-09-29,18.49,-20
2020-09-30,18.31,-18
2020-10-01,18.13,-18
